region,date,cfr,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,negative_corpse,new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,pending,percent_seen,population,positive_corpse,repeat_samples,total_lab_samples
tonkolili,2014-10-03,8,1113,1113,0,0,352,86,1465,47,0,13,7,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-10-03,2,676,169,4,503,328,187,1004,162,0,20,4,0,0,,,,,,,,,13,6,195,,8,,0,,2,,98%,,,,
western area urban,2014-10-03,3,714,512,0,202,754,270,1468,365,1,36,9,1,1,,,,,,,,,15,11,54,,8,,0,,1,,98%,,,,
bo,2014-08-20,7.7,217,208,4,4,131,26,348,70,1,0,2,0,0,,,,,,,,,11,0,16,,0,,0,,0,,98%,654142,,,
bombali,2014-08-20,10,232,222,1,9,36,10,268,15,1,1,1,0,0,,,,,,,,,0,0,26,,0,,0,,0,,96%,494139,,,
bonthe,2014-08-20,0.0,0.0,0.0,0.0,0.0,26.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,168729.0,,,
kailahun,2014-08-20,42.9,358,278,0,80,894,410,1159,217,32,14,176,32,2,361,135,159,41,2,2,2,,5,1,4,,3,,0,,0,,78%,465048,,,
kambia,2014-08-20,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,341690.0,,,
kenema,2014-08-20,46.6,455,413,3,39,996,290,1541,358,0,4,135,0,1,291,176,68,30,2,0,0,,43,2,43,,0,,0,,1,,94%,653013,,,
koinadugu,2014-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-08-20,0,15,15,0,0,38,1,53,16,1,33,0,0,0,,,,,,,,,0,0,15,,0,,0,,0,,100%,325003,,,
moyamba,2014-08-20,50,114,113,1,0,17,8,131,13,1,0,4,0,0,,,,,,,,,8,0,11,,0,,0,,0,,100%,278119,,,
port loko,2014-08-20,3,590,548,2,40,47,33,636,13,0,0,1,1,1,,,,,,,,,0,1,5,,0,,0,,0,,93%,557978,,,
pujehun,2014-08-20,0,14,14,0,0,56,4,71,2,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-08-20,0,8,8,0,0,11,2,19,10,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-08-20,0,41,41,0,0,0,5,41,12,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,263619,,,
western area urban,2014-08-20,9.1,367,367,0,0,132,22,499,73,1,0,2,1,1,,,,,,,,,0,0,0,,1,,0,,0,,100%,1040888,,,
bo,2014-11-07,32.4,276,276,0,0,848,188,1124,262,1,77,61,43,8,114,34,50,49,7,2,2,16,0,4,0,,16,,0,,2,,100%,654142,1,,
bombali,2014-11-07,23.7,928,924,0,4,1697,638,2625,409,6,87,151,19,22,,,,,,,,10,0,6,0,,13,,0,,2,,98%,494139,2,,
bonthe,2014-11-07,50.0,0,0,0,0,125,2,125,4,0,3,1,1,1,,,,,,,,0,20,0,0,,1,,0,,0,,100%,168729,0,,
kailahun,2014-11-07,40.9,357,357,0,0,2182,557,2539,312,32,18,228,35,4,1006,252,260,54,13,1,3,0,0,2,0,,0,,0,,0,,100%,465048,0,,
kambia,2014-11-07,26.0,462,462,0,0,189,50,651,30,0,10,13,9,6,,,,,,,,0,0,0,0,,0,,0,,0,,100%,341690,0,,
kenema,2014-11-07,52.1,316,316,0,0,2742,493,3170,891,0,98,257,0,4,,,,,,,,11,17,0,0,,11,,0,,0,,100%,653013,0,,
koinadugu,2014-11-07,27.1,247,247,0,0,8,48,255,50,32,14,13,32,0,,,,,,,,0,0,4,0,,0,,0,,1,,100%,335471,1,,
kono,2014-11-07,42.9,345,337,8,0,390,42,735,93,1,61,18,19,2,,,,,,,,0,31,0,0,,2,,0,,0,,98%,325003,0,,
moyamba,2014-11-07,28.1,312,310,0,2,845,121,1157,95,1,34,34,20,9,,,,,,,,0,0,3,0,,2,,0,,1,,100%,278119,2,,
port loko,2014-11-07,15.7,6126,6082,14,30,948,567,7074,275,1,59,89,1,74,,,,,,,,2,0,2,57,,2,,0,,0,,98%,557978,2,,
pujehun,2014-11-07,57.1,135,135,0,0,961,28,1103,13,0,10,16,2,3,,,,,,,,0,0,0,0,,0,,0,,0,,100%,335574,0,,
tonkolili,2014-11-07,22.8,1692,1689,3,0,1177,241,2869,126,4,41,55,21,4,,,,,,,,0,0,0,64,,0,,0,,0,,100%,434937,0,,
western area rural,2014-11-07,15.7,1866,1630,0,4,1867,575,3733,478,0,51,90,2,12,,,,,,,,2,0,12,0,,8,,0,,0,,98%,263619,2,,
western area urban,2014-11-07,13.8,2502,2009,0,200,3365,727,5858,957,1,100,100,4,8,,,,,,,,25,0,12,0,,33,,0,,6,,98%,1040888,3,,
bo,2014-08-26,42.9,177,174,0,3,245,35,422,74,1,0,15,0,0,,,,,,,,,0,0,41,,0,,0,,0,,98%,654142,,,
bombali,2014-08-26,10,340,331,6,3,77,20,417,17,1,1,2,0,0,,,,,,,,,10,0,32,,0,,0,,0,,99%,494139,,,
bonthe,2014-08-26,0.0,0.0,0.0,0.0,0.0,26.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,168729.0,,,
kailahun,2014-08-26,40.9,213,211,2,0,1007,440,1222,236,32,14,180,35,4,389,158,175,68,8,3,0,,20,0,17,,12,,0,,0,,100%,465048,,,
kambia,2014-08-26,0.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,341690.0,,,
kenema,2014-08-26,47.9,404,371,2,33,1202,328,1659,392,0,5,157,0,4,294,180,69,-,-,-,-,,11,2,17,,4,,0,,0,,92%,653013,,,
koinadugu,2014-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-08-26,0.0,0.0,0.0,0.0,0.0,38.0,1.0,53.0,18.0,1.0,33.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,325003.0,,,
moyamba,2014-08-26,44.4,89,89,0,0,55,9,144,16,0,0,4,0,0,,,,,,,,,38,0,0,,0,,0,,0,,100%,278119,,,
port loko,2014-08-26,3.5,603,572,3,28,88,57,691,17,1,2,2,1,1,,,,,,,,,29,0,43,,0,,0,,0,,95%,557978,,,
pujehun,2014-08-26,0,57,57,0,4,66,7,127,2,0,0,0,0,0,,,,,,,,,0,0,43,,0,,0,,0,,100%,335574,,,
tonkolili,2014-08-26,0,341,340,0,1,11,13,341,13,0,1,1,0,0,,,,,,,,,0,0,139,,0,,0,,0,,99%,434937,,,
western area rural,2014-08-26,0,86,86,0,0,0,15,86,13,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,263619,,,
western area urban,2014-08-26,5.9,406,406,0,0,140,34,546,85,1,3,2,1,1,,,,,,,,,0,4,0,,4,,0,,1,,100%,1040888,,,
bo,2014-09-08,24.6,150,148,1,1,442,65,592,80,1,7,16,0,0,,,,,,,,,0,0,0,,0,,0,,0,,99%,654142,,,
bombali,2014-09-08,9,427,418,5,4,124,67,551,24,1,1,6,0,0,,,,,,,,,0,0,10,,0,,0,,0,,100%,494139,,,
bonthe,2014-09-08,100,5,5,0,0,27,1,32,0,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-08,35.6,163,162,0,1,1096,508,1413,255,32,18,181,35,4,436,208,203,69,5,5,2,,3,4,22,,0,,0,,2,,99%,465048,,,
kambia,2014-09-08,0,18,18,0,0,12,1,30,3,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,341690,,,
kenema,2014-09-08,50.9,605,589,0,16,1758,387,2400,442,0,22,197,0,4,537,182,72,54,0,1,2,,29,2,47,,9,,0,,0,,97%,653013,,,
koinadugu,2014-09-08,0.0,,,,,,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-08,0,118,87,7,0,38,12,157,22,1,34,2,0,1,,,,,,,,,0,0,24,,0,,0,,0,,80%,325003,,,
moyamba,2014-09-08,42.9,67,61,6,0,137,14,206,22,0,2,6,0,0,,,,,,,,,0,1,4,,0,,0,,0,,100%,278119,,,
port loko,2014-09-08,15.8,1184,1165,5,24,57,101,1348,30,1,5,16,1,1,,,,,,,,,57,3,90,,3,,0,,0,,99%,557978,,,
pujehun,2014-09-08,10,179,178,0,0,154,10,333,3,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,99%,335574,,,
tonkolili,2014-09-08,9.5,380,380,0,0,153,21,533,20,0,1,2,0,0,,,,,,,,,0,0,70,,0,,0,,0,,100%,434937,,,
western area rural,2014-09-08,4.8,176,176,0,0,0,42,176,36,0,2,2,0,0,,,,,,,,,0,2,12,,7,,0,,0,,100%,263619,,,
western area urban,2014-09-08,3.9,306,306,0,0,436,76,727,138,1,7,3,1,1,,,,,,,,,0,5,0,,5,,0,,0,,100%,1040888,,,
bo,2014-11-17,,,,,,,225.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,654142.0,,,
bombali,2014-11-17,,,,,,,711.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,494139.0,,,
bonthe,2014-11-17,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,168729.0,,,
kailahun,2014-11-17,,,,,,,559.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,465048.0,,,
kambia,2014-11-17,,,,,,,57.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,341690.0,,,
kenema,2014-11-17,,,,,,,493.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,653013.0,,,
koinadugu,2014-11-17,,,,,,,75.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,335471.0,,,
kono,2014-11-17,,,,,,,62.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,325003.0,,,
moyamba,2014-11-17,,,,,,,149.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,278119.0,,,
port loko,2014-11-17,,,,,,,738.0,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,557978.0,,,
pujehun,2014-11-17,,,,,,,28.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,335574.0,,,
tonkolili,2014-11-17,,,,,,,302.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,434937.0,,,
western area rural,2014-11-17,,,,,,,717.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,263619.0,,,
western area urban,2014-11-17,,,,,,,990.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,1040888.0,,,
bo,2014-11-24,28.7,471.0,465.0,0.0,6.0,995.0,244.0,1466.0,449.0,1.0,104.0,70.0,43.0,8.0,,,,,,,,21.0,0.0,8.0,0.0,,26.0,,0.0,,2.0,,98.0,654142.0,1.0,,
bombali,2014-11-24,24.2,1759.0,1745.0,1.0,12.0,1681.0,773.0,3440.0,629.0,6.0,103.0,187.0,19.0,22.0,,,,,,,,10.0,0.0,10.0,0.0,,28.0,,0.0,,0.0,,98.0,494139.0,2.0,,
bonthe,2014-11-24,66.7,40.0,40.0,0.0,0.0,125.0,3.0,165.0,20.0,0.0,6.0,2.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,168729.0,0.0,,
kailahun,2014-11-24,40.6,625.0,625.0,0.0,0.0,2514.0,561.0,3139.0,321.0,32.0,18.0,228.0,35.0,4.0,,,,,,,,0.0,12.0,0.0,32.0,,0.0,,0.0,,0.0,,100.0,465048.0,0.0,,
kambia,2014-11-24,30.9,89.0,87.0,0.0,2.0,670.0,68.0,759.0,57.0,0.0,19.0,21.0,9.0,6.0,,,,,,,,1.0,0.0,6.0,0.0,,1.0,,0.0,,1.0,,100.0,341690.0,3.0,,
kenema,2014-11-24,52.8,61.0,61.0,0.0,0.0,3025.0,494.0,3218.0,1042.0,0.0,106.0,261.0,0.0,5.0,,,,,,,,4.0,0.0,0.0,0.0,,8.0,,0.0,,5.0,,99.0,653013.0,0.0,,
koinadugu,2014-11-24,29.5,247.0,247.0,0.0,0.0,8.0,78.0,255.0,64.0,32.0,19.0,23.0,32.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,335471.0,0.0,,
kono,2014-11-24,39.7,605.0,587.0,18.0,0.0,454.0,73.0,1059.0,124.0,1.0,78.0,29.0,19.0,2.0,,,,,,,,0.0,42.0,0.0,2.0,,0.0,,0.0,,0.0,,98.0,325003.0,0.0,,
moyamba,2014-11-24,25.3,310.0,310.0,0.0,0.0,1296.0,158.0,1606.0,207.0,1.0,48.0,40.0,20.0,9.0,,,,,,,,12.0,128.0,1.0,0.0,,14.0,,0.0,,0.0,,100.0,278119.0,1.0,,
port loko,2014-11-24,17.5,6331.0,6285.0,7.0,39.0,1571.0,805.0,7902.0,645.0,1.0,185.0,141.0,1.0,74.0,,,,,,,,11.0,60.0,13.0,23.0,,30.0,,0.0,,14.0,,98.0,557978.0,7.0,,
pujehun,2014-11-24,53.3,119.0,119.0,0.0,0.0,1103.0,30.0,1222.0,18.0,0.0,10.0,16.0,2.0,3.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,335574.0,0.0,,
tonkolili,2014-11-24,22.0,1216.0,1210.0,0.0,6.0,1863.0,337.0,3079.0,233.0,4.0,71.0,74.0,21.0,4.0,,,,,,,,8.0,0.0,4.0,0.0,,12.0,,0.0,,0.0,,98.0,434937.0,1.0,,
unnamed: 18,2014-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
western area rural,2014-11-24,16.9,1796.0,1634.0,8.0,3.0,3900.0,776.0,5886.0,808.0,0.0,117.0,131.0,2.0,12.0,,,,,,,,12.0,277.0,10.0,151.0,,20.0,,0.0,,6.0,,98.0,263619.0,6.0,,
western area urban,2014-11-24,15.5,2867.0,2591.0,2.0,14.0,5149.0,1124.0,8788.0,1616.0,1.0,227.0,174.0,4.0,8.0,,,,,,,,48.0,156.0,31.0,250.0,,78.0,,0.0,,4.0,,98.0,1040888.0,12.0,,
bo,2014-09-14,21.1,165.0,165.0,0.0,0.0,498.0,76.0,663.0,84.0,1.0,11.0,16.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,654142.0,,,
bombali,2014-09-14,5.3,458,447,7,4,206,113,664,30,1,4,6,0,0,,,,,,,,,19,31,38,,5,,0,,2,,99.00%,494139,,,
bonthe,2014-09-14,100,52,52,0,0,32,1,84,1,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,168729,,,
kailahun,2014-09-14,35.8,163,162,1,0,1120,528,1440,273,32,1,189,35,4,463,234,229,58,1,2,0,,15,0,9,,1,,0,,0,,100.00%,465048,,,
kambia,2014-09-14,33.3,85,85,0,0,12,3,98,5,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,341690,,,
kenema,2014-09-14,54.7,640,624,3,13,1830,408,2495,486,0,29,223,0,4,514,190,95,46,7,2,18,,9,10,10,,7,,0,,2,,97.00%,653013,,,
koinadugu,2014-09-14,0.0,,,,,,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-14,0,112,105,7,0,80,15,192,23,1,39,2,0,1,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,325003,,,
moyamba,2014-09-14,35.3,54,161,3,0,164,17,218,28,0,2,6,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,278119,,,
port loko,2014-09-14,11.2,1384,1195,2,187,258,143,1642,39,1,4,16,1,1,,,,,,,,,20,0,108,,0,,0,,0,,97.00%,557978,,,
pujehun,2014-09-14,10,138,138,0,0,195,10,333,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,335574,,,
tonkolili,2014-09-14,6.3,411,411,0,0,182,32,593,28,0,2,2,0,0,,,,,,,,,0,1,40,,0,,0,,0,,100.00%,434937,,,
western area rural,2014-09-14,3.8,212,212,0,0,30,53,242,57,0,4,2,0,0,,,,,,,,,30,2,0,,3,,0,,0,,100.00%,263619,,,
western area urban,2014-09-14,2.6,364,364,0,0,436,114,800,174,1,8,3,1,1,,,,,,,,,0,5,0,,3,,0,,0,,100.00%,1040888,,,
bo,2014-12-13,,,,,,,297.0,,,1.0,122.0,,,,,,,,,,,,,,,,,,,,,,,654142.0,,,
bombali,2014-12-13,,,,,,,907.0,,,6.0,120.0,,,,,,,,,,,,,,,,,,,,,,,494139.0,,,
bonthe,2014-12-13,,,,,,,4.0,,,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,168729.0,,,
kailahun,2014-12-13,,,,,,,565.0,,,32.0,18.0,,,,,,,,,,,,,,,,,,,,,,,465048.0,,,
kambia,2014-12-13,,,,,,,96.0,,,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,341690.0,,,
kenema,2014-12-13,,,,,,,495.0,,,0.0,125.0,,,,,,,,,,,,,,,,,,,,,,,653013.0,,,
koinadugu,2014-12-13,,,,,,,89.0,,,32.0,29.0,,,,,,,,,,,,,,,,,,,,,,,335471.0,,,
kono,2014-12-13,,,,,,,124.0,,,1.0,111.0,,,,,,,,,,,,,,,,,,,,,,,325003.0,,,
moyamba,2014-12-13,,,,,,,173.0,,,1.0,69.0,,,,,,,,,,,,,,,,,,,,,,,278119.0,,,
port loko,2014-12-13,,,,,,,998.0,,,1.0,264.0,,,,,,,,,,,,,,,,,,,,,,,557978.0,,,
pujehun,2014-12-13,,,,,,,31.0,,,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,335574.0,,,
tonkolili,2014-12-13,,,,,,,396.0,,,4.0,84.0,,,,,,,,,,,,,,,,,,,,,,,434937.0,,,
western area rural,2014-12-13,,,,,,,937.0,,,0.0,191.0,,,,,,,,,,,,,,,,,,,,,,,263619.0,,,
western area urban,2014-12-13,,,,,,,1526.0,,,1.0,370.0,,,,,,,,,,,,,,,,,,,,,,,1040888.0,,,
bo,2014-10-21,37.3,318,317,1,0,661,158,979,153,1,52,59,43,3,95,29,38,28,2,2,0,,0,9,29,,7,,0,,2,,100%,654142,,,
bombali,2014-10-21,27.9,1701,1690,7,4,529,470,2230,256,1,74,131,14,18,,,,,,,,,0,4,18,,12,,0,,0,,98%,494139,,,
bonthe,2014-10-21,50.0,20,20,0,0,105,2,125,2,0,3,1,1,1,,,,,,,,,15,0,20,,0,,0,,0,,100%,168729,,,
hastings-f/town,2014-10-21,,,,,,,,,,,,,,,302.0,84.0,124.0,91.0,14.0,3.0,45.0,,,,,,,,,,,,,,,,
kailahun,2014-10-21,40.2,495,495,0,0,1768,550,2263,299,32,18,221,35,4,867,242,205,39,8,1,2,,0,1,18,,2,,0,,0,,100%,465048,,,
kambia,2014-10-21,31.0,64,64,0,0,377,29,442,17,0,4,9,9,6,,,,,,,,,27,3,0,,3,,0,,0,,100%,341690,,,
kenema,2014-10-21,52,333,285,0,42,2647,475,2980,725,0,71,247,0,4,,,,,,,,,6,1,35,,7,,0,,2,,99%,653013,,,
kenema (ifrc),2014-10-21,,,,,,,,,,,,,,,130.0,55.0,36.0,30.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,
kenema (kgh),2014-10-21,,,,,,,,,,,,,,,504.0,254.0,307.0,0.0,,,,,,,,,,,,,,,,,,,
koinadugu,2014-10-21,0,55,55,3,0,0,5,58,38,0,4,0,0,0,,,,,,,,,0,0,0,,2,,0,,0,,99%,335471,,,
kono,2014-10-21,52.9,352,310,13,0,235,34,560,80,1,54,18,19,2,,,,,,,,,0,0,0,,0,,0,,0,,98%,325003,,,
moyamba,2014-10-21,38.4,377,377,0,0,524,86,901,71,0,25,33,19,6,,,,,,,,,24,0,0,,0,,0,,0,,100%,278119,,,
port loko,2014-10-21,14.6,4051,4007,18,26,636,480,4687,185,1,23,70,1,49,,,,,,,,,0,20,21,,15,,0,,1,,98%,557978,,,
pujehun,2014-10-21,48.0,294,294,0,0,669,25,964,11,0,6,12,2,3,,,,,,,,,0,0,0,,1,,0,,0,,100%,335574,,,
tonkolili,2014-10-21,26.8,1753,1753,0,0,781,157,2534,74,0,25,42,17,3,,,,,,,,,56,0,0,,0,,0,,0,,100%,434937,,,
western area,2014-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
western area rural,2014-10-21,20.8,753,701,2,52,1273,370,2026,320,0,37,77,2,4,,,,,,,,,0,4,107,,2,,0,,0,,98%,,,,
western area urban,2014-10-21,16.1,1266,1061,2,205,1550,504,2816,705,1,63,81,2,6,,,,,,,,,61,8,78,,11,,0,,0,,98%,,,,
bo,2014-11-13,,,,,,,207.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,654142.0,,,
bombali,2014-11-13,,,,,,,686.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,494139.0,,,
bonthe,2014-11-13,,,,,,,2.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,168729.0,,,
kailahun,2014-11-13,,,,,,,558.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,465048.0,,,
kambia,2014-11-13,,,,,,,56.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,341690.0,,,
kenema,2014-11-13,,,,,,,493.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,653013.0,,,
koinadugu,2014-11-13,,,,,,,68.0,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,335471.0,,,
kono,2014-11-13,,,,,,,53.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,325003.0,,,
moyamba,2014-11-13,,,,,,,141.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,278119.0,,,
port loko,2014-11-13,,,,,,,683.0,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,557978.0,,,
pujehun,2014-11-13,,,,,,,28.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,335574.0,,,
tonkolili,2014-11-13,,,,,,,297.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,434937.0,,,
western area rural,2014-11-13,,,,,,,663.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,263619.0,,,
western area urban,2014-11-13,,,,,,,893.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,1040888.0,,,
bo,2014-10-04,46,226,224,2,0,661,106,887,102,1,24,49,43,2,,,,,,,,,0,10,0,,0,,0,,1,,99%,654142,,,
bombali,2014-10-04,30,953,940,13,0,361,294,1314,131,1,34,87,7,13,,,,,,,,,0,38,69,,7,,0,,15,,98%,494139,,,
bonthe,2014-10-04,100,15,15,0,0,90,1,105,1,0,2,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-10-04,41,615,614,1,0,1275,531,1835,282,32,18,216,35,4,,,,,,,,,55,1,14,,1,,0,,0,,100%,465048,,,
kambia,2014-10-04,5,311,311,0,0,50,21,361,7,0,3,1,0,0,,,,,,,,,0,0,0,,1,,0,,0,,100%,341690,,,
kenema,2014-10-04,54,276,276,0,0,2549,431,2818,615,0,46,232,0,4,,,,,,,,,0,0,0,,0,,0,,3,,99%,653013,,,
koinadugu,2014-10-04,0.0,,,,,,0.0,,30.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-10-04,0,287,271,16,0,140,23,427,45,1,43,18,19,2,,,,,,,,,0,0,0,,0,,0,,0,,98%,325003,,,
moyamba,2014-10-04,12,242,242,0,0,246,66,488,49,0,18,8,0,0,,,,,,,,,0,6,0,,2,,0,,0,,100%,278119,,,
port loko,2014-10-04,5,2325,2313,1,11,534,340,2859,137,1,19,18,1,1,,,,,,,,,0,8,8,,3,,0,,1,,98%,557978,,,
pujehun,2014-10-04,27,253,253,0,0,284,22,537,5,0,2,6,0,0,,,,,,,,,0,1,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-10-04,33,1346,1346,0,0,462,86,1808,54,0,13,28,17,3,,,,,,,,,0,0,44,,6,,0,,0,,100%,434937,,,
western area rural,2014-10-04,3,676,170,0,6,328,200,1004,169,0,21,5,0,0,,,,,,,,,0,3,0,,7,,0,,1,,100%,263619,,,
western area urban,2014-10-04,3,714,700,4,10,754,290,1468,414,1,36,9,1,1,,,,,,,,,0,14,0,,29,,0,,1,,100%,1040888,,,
bo,2014-10-20,39.6,267,129,1,138,661,149,950,146,1,50,59,43,3,93,27,38,28,5,2,0,,0,1,29,,0,,0,,0,,98%,654142,,,
bombali,2014-10-20,28.1,1683,1669,8,6,529,466,2212,244,1,74,131,14,18,,,,,,,,,20,25,13,,7,,0,,1,,98%,494139,,,
bonthe,2014-10-20,50.0,20,20,0,0,105,2,125,2,0,3,1,1,1,,,,,,,,,15,0,20,,0,,0,,0,,100%,168729,,,
hastings-f/town,2014-10-20,,,,,,,,,,,,,,,288.0,81.0,79.0,119.0,2.0,3.0,0.0,,,,,,,,,,,,,,,,
kailahun,2014-10-20,40.1,517,517,0,0,1728,549,2245,297,32,18,220,35,4,867,241,203,43,3,0,4,,40,4,0,,5,,0,,0,,100%,465048,,,
kambia,2014-10-20,34.6,92,91,1,0,350,26,442,14,0,4,9,9,6,,,,,,,,,198,0,0,,0,,0,,0,,100%,341690,,,
kenema,2014-10-20,51.9,333,333,0,0,2647,474,2980,718,0,69,246,0,4,,,,,,,,,0,4,0,,6,,0,,3,,100%,653013,,,
kenema (ifrc),2014-10-20,,,,,,,,,,,,,,,120.0,49.0,29.0,28.0,,,,,,,,,,,,,,,,,,,
kenema (kgh),2014-10-20,,,,,,,,,,,,,,,504.0,254.0,307.0,0.0,,,,,,,,,,,,,,,,,,,
koinadugu,2014-10-20,,,,,,,5.0,,36.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,3.0,,,0.0,,0.0,,2.0,,,335471.0,,,
kono,2014-10-20,52.9,323,310,13,0,237,34,560,80,1,54,18,19,2,,,,,,,,,0,0,0,,0,,0,,0,,98%,325003,,,
moyamba,2014-10-20,38.4,401,401,0,0,500,86,901,71,0,25,33,19,6,,,,,,,,,0,1,40,,2,,0,,0,,100%,278119,,,
port loko,2014-10-20,15.2,3960,3907,11,42,636,460,4596,170,1,22,70,1,49,,,,,,,,,22,16,91,,4,,0,,0,,98%,557978,,,
pujehun,2014-10-20,48.0,394,394,0,0,569,25,964,10,0,6,12,2,3,,,,,,,,,0,0,15,,1,,0,,1,,100%,335574,,,
tonkolili,2014-10-20,26.1,1809,1806,3,0,725,157,2534,74,0,25,41,17,3,,,,,,,,,13,7,95,,4,,0,,1,,100%,434937,,,
